comment_id,block,code_id,label,label_source
15114,I_2,E1VIOLENCE,N,sonnet
15114,I_2,E1RADICAL,N,sonnet
15114,I_2,E2ALLEGATION,I,sonnet
15114,I_2,E2DEHUMANIZATION,N,sonnet
15114,I_2,E2DEMONIZE,I,sonnet
15114,I_2,E2STEREOTYPE,N,sonnet
15114,I_2,E2COLLECTIVEPOWER,N,sonnet
15114,I_2,E2CONSPIRACY,I,sonnet
15114,I_2,E2CONTROLMEDIA,N,sonnet
15114,I_2,E2CONTROLECONOMY,N,sonnet
15114,I_2,E2CONTROLGOV,N,sonnet
15114,I_2,E2CONTROLOTHER,N,sonnet
15114,I_2,E3COLLECTIVEBLAME,N,sonnet
15283,I_2,E1VIOLENCE,N,sonnet
15283,I_2,E1RADICAL,N,sonnet
15283,I_2,E2ALLEGATION,N,sonnet
15283,I_2,E2DEHUMANIZATION,N,sonnet
15283,I_2,E2DEMONIZE,N,sonnet
15283,I_2,E2STEREOTYPE,N,sonnet
15283,I_2,E2COLLECTIVEPOWER,N,sonnet
15283,I_2,E2CONSPIRACY,N,sonnet
15283,I_2,E2CONTROLMEDIA,N,sonnet
15283,I_2,E2CONTROLECONOMY,N,sonnet
15283,I_2,E2CONTROLGOV,N,sonnet
15283,I_2,E2CONTROLOTHER,N,sonnet
15283,I_2,E3COLLECTIVEBLAME,N,sonnet
3619,I_2,E1VIOLENCE,N,sonnet
3619,I_2,E1RADICAL,N,sonnet
3619,I_2,E2ALLEGATION,N,sonnet
3619,I_2,E2DEHUMANIZATION,N,sonnet
3619,I_2,E2DEMONIZE,N,sonnet
3619,I_2,E2STEREOTYPE,N,sonnet
3619,I_2,E2COLLECTIVEPOWER,N,sonnet
3619,I_2,E2CONSPIRACY,N,sonnet
3619,I_2,E2CONTROLMEDIA,N,sonnet
3619,I_2,E2CONTROLECONOMY,N,sonnet
3619,I_2,E2CONTROLGOV,N,sonnet
3619,I_2,E2CONTROLOTHER,N,sonnet
3619,I_2,E3COLLECTIVEBLAME,N,sonnet
25348,I_2,E1VIOLENCE,N,sonnet
25348,I_2,E1RADICAL,N,sonnet
25348,I_2,E2ALLEGATION,N,sonnet
