comment_id,block,code_id,label,label_source
27315,I_NO_1,D2DOUBLESTANDARD,N,sonnet
28197,I_NO_1,D2DOUBLESTANDARD,I,sonnet
5872,I_NO_1,D2DOUBLESTANDARD,N,sonnet
5094,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42415,I_NO_1,D2DOUBLESTANDARD,N,sonnet
17386,I_NO_1,D2DOUBLESTANDARD,N,sonnet
37781,I_NO_1,D2DOUBLESTANDARD,N,sonnet
19655,I_NO_1,D2DOUBLESTANDARD,N,sonnet
10813,I_NO_1,D2DOUBLESTANDARD,A,sonnet
1938,I_NO_1,D2DOUBLESTANDARD,N,sonnet
19499,I_NO_1,D2DOUBLESTANDARD,N,sonnet
27901,I_NO_1,D2DOUBLESTANDARD,N,sonnet
20867,I_NO_1,D2DOUBLESTANDARD,N,sonnet
31447,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47762,I_NO_1,D2DOUBLESTANDARD,N,sonnet
46846,I_NO_1,D2DOUBLESTANDARD,N,sonnet
48322,I_NO_1,D2DOUBLESTANDARD,N,sonnet
4898,I_NO_1,D2DOUBLESTANDARD,N,sonnet
18816,I_NO_1,D2DOUBLESTANDARD,N,sonnet
12019,I_NO_1,D2DOUBLESTANDARD,N,sonnet
21585,I_NO_1,D2DOUBLESTANDARD,N,sonnet
25204,I_NO_1,D2DOUBLESTANDARD,N,sonnet
12621,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42503,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42926,I_NO_1,D2DOUBLESTANDARD,N,sonnet
45616,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30381,I_NO_1,D2DOUBLESTANDARD,N,sonnet
2683,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47217,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30487,I_NO_1,D2DOUBLESTANDARD,N,sonnet
37934,I_NO_1,D2DOUBLESTANDARD,N,sonnet
1899,I_NO_1,D2DOUBLESTANDARD,N,sonnet
11093,I_NO_1,D2DOUBLESTANDARD,N,sonnet
40689,I_NO_1,D2DOUBLESTANDARD,N,sonnet
738,I_NO_1,D2DOUBLESTANDARD,N,sonnet
14586,I_NO_1,D2DOUBLESTANDARD,N,sonnet
46165,I_NO_1,D2DOUBLESTANDARD,N,sonnet
3224,I_NO_1,D2DOUBLESTANDARD,N,sonnet
889,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42529,I_NO_1,D2DOUBLESTANDARD,E,sonnet
44747,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42935,I_NO_1,D2DOUBLESTANDARD,N,sonnet
28800,I_NO_1,D2DOUBLESTANDARD,N,sonnet
38404,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47660,I_NO_1,D2DOUBLESTANDARD,N,sonnet
10769,I_NO_1,D2DOUBLESTANDARD,N,sonnet
1876,I_NO_1,D2DOUBLESTANDARD,N,sonnet
27950,I_NO_1,D2DOUBLESTANDARD,N,sonnet
37821,I_NO_1,D2DOUBLESTANDARD,N,sonnet
49450,I_NO_1,D2DOUBLESTANDARD,N,sonnet
37390,I_NO_1,D2DOUBLESTANDARD,A,sonnet
29888,I_NO_1,D2DOUBLESTANDARD,N,sonnet
13432,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44607,I_NO_1,D2DOUBLESTANDARD,N,sonnet
24688,I_NO_1,D2DOUBLESTANDARD,N,sonnet
32677,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44907,I_NO_1,D2DOUBLESTANDARD,N,sonnet
9874,I_NO_1,D2DOUBLESTANDARD,N,sonnet
20047,I_NO_1,D2DOUBLESTANDARD,N,sonnet
36873,I_NO_1,D2DOUBLESTANDARD,N,sonnet
6378,I_NO_1,D2DOUBLESTANDARD,N,sonnet
9971,I_NO_1,D2DOUBLESTANDARD,N,sonnet
11419,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47844,I_NO_1,D2DOUBLESTANDARD,N,sonnet
2166,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44564,I_NO_1,D2DOUBLESTANDARD,N,sonnet
32753,I_NO_1,D2DOUBLESTANDARD,N,sonnet
6075,I_NO_1,D2DOUBLESTANDARD,N,sonnet
41554,I_NO_1,D2DOUBLESTANDARD,N,sonnet
34184,I_NO_1,D2DOUBLESTANDARD,N,sonnet
36456,I_NO_1,D2DOUBLESTANDARD,N,sonnet
5492,I_NO_1,D2DOUBLESTANDARD,N,sonnet
20320,I_NO_1,D2DOUBLESTANDARD,N,sonnet
49970,I_NO_1,D2DOUBLESTANDARD,A,sonnet
41396,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44612,I_NO_1,D2DOUBLESTANDARD,N,gpt4o
19492,I_NO_1,D2DOUBLESTANDARD,N,sonnet
10331,I_NO_1,D2DOUBLESTANDARD,N,sonnet
36458,I_NO_1,D2DOUBLESTANDARD,N,sonnet
9615,I_NO_1,D2DOUBLESTANDARD,N,sonnet
13518,I_NO_1,D2DOUBLESTANDARD,N,sonnet
48650,I_NO_1,D2DOUBLESTANDARD,N,sonnet
48295,I_NO_1,D2DOUBLESTANDARD,N,sonnet
21018,I_NO_1,D2DOUBLESTANDARD,N,sonnet
5807,I_NO_1,D2DOUBLESTANDARD,N,sonnet
36477,I_NO_1,D2DOUBLESTANDARD,N,sonnet
49858,I_NO_1,D2DOUBLESTANDARD,N,sonnet
22247,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44367,I_NO_1,D2DOUBLESTANDARD,N,sonnet
13708,I_NO_1,D2DOUBLESTANDARD,N,sonnet
9962,I_NO_1,D2DOUBLESTANDARD,N,sonnet
11339,I_NO_1,D2DOUBLESTANDARD,N,sonnet
20707,I_NO_1,D2DOUBLESTANDARD,N,sonnet
31827,I_NO_1,D2DOUBLESTANDARD,A,sonnet
18839,I_NO_1,D2DOUBLESTANDARD,N,sonnet
1715,I_NO_1,D2DOUBLESTANDARD,N,sonnet
26688,I_NO_1,D2DOUBLESTANDARD,N,sonnet
26974,I_NO_1,D2DOUBLESTANDARD,N,sonnet
39821,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44474,I_NO_1,D2DOUBLESTANDARD,A,sonnet
24489,I_NO_1,D2DOUBLESTANDARD,N,sonnet
9767,I_NO_1,D2DOUBLESTANDARD,N,sonnet
8233,I_NO_1,D2DOUBLESTANDARD,N,sonnet
2964,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30316,I_NO_1,D2DOUBLESTANDARD,N,sonnet
34973,I_NO_1,D2DOUBLESTANDARD,N,sonnet
10757,I_NO_1,D2DOUBLESTANDARD,N,sonnet
18940,I_NO_1,D2DOUBLESTANDARD,N,sonnet
7366,I_NO_1,D2DOUBLESTANDARD,A,sonnet
17783,I_NO_1,D2DOUBLESTANDARD,N,sonnet
28857,I_NO_1,D2DOUBLESTANDARD,A,sonnet
39214,I_NO_1,D2DOUBLESTANDARD,N,sonnet
38057,I_NO_1,D2DOUBLESTANDARD,N,sonnet
4318,I_NO_1,D2DOUBLESTANDARD,N,sonnet
11840,I_NO_1,D2DOUBLESTANDARD,N,sonnet
43927,I_NO_1,D2DOUBLESTANDARD,N,gpt4o
10768,I_NO_1,D2DOUBLESTANDARD,N,sonnet
40914,I_NO_1,D2DOUBLESTANDARD,N,sonnet
49202,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47200,I_NO_1,D2DOUBLESTANDARD,N,sonnet
2610,I_NO_1,D2DOUBLESTANDARD,N,sonnet
44295,I_NO_1,D2DOUBLESTANDARD,N,sonnet
42012,I_NO_1,D2DOUBLESTANDARD,N,sonnet
26790,I_NO_1,D2DOUBLESTANDARD,N,sonnet
38085,I_NO_1,D2DOUBLESTANDARD,E,sonnet
38145,I_NO_1,D2DOUBLESTANDARD,N,sonnet
41909,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30715,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30101,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47793,I_NO_1,D2DOUBLESTANDARD,N,sonnet
23332,I_NO_1,D2DOUBLESTANDARD,N,sonnet
41896,I_NO_1,D2DOUBLESTANDARD,N,sonnet
12031,I_NO_1,D2DOUBLESTANDARD,N,sonnet
41776,I_NO_1,D2DOUBLESTANDARD,N,sonnet
1730,I_NO_1,D2DOUBLESTANDARD,N,sonnet
12357,I_NO_1,D2DOUBLESTANDARD,N,sonnet
15837,I_NO_1,D2DOUBLESTANDARD,N,sonnet
47419,I_NO_1,D2DOUBLESTANDARD,I,sonnet
35082,I_NO_1,D2DOUBLESTANDARD,N,sonnet
25695,I_NO_1,D2DOUBLESTANDARD,N,sonnet
15283,I_NO_1,D2DOUBLESTANDARD,N,sonnet
17484,I_NO_1,D2DOUBLESTANDARD,N,sonnet
30986,I_NO_1,D2DOUBLESTANDARD,N,sonnet
24869,I_NO_1,D2DOUBLESTANDARD,N,sonnet
12743,I_NO_1,D2DOUBLESTANDARD,N,sonnet
32172,I_NO_1,D2DOUBLESTANDARD,N,sonnet
5683,I_NO_1,D2DOUBLESTANDARD,N,gpt4o
13029,I_NO_1,D2DOUBLESTANDARD,N,sonnet
