comment_id,block,code_id,label
18332,J_2,A4DOGWHISTLE,N
18332,J_2,A4ROTHSCHILD,N
18332,J_2,A4ISRAELEVIL,N
18332,J_2,A4ISRAELINFLUENCE,N
18332,J_2,A5HOLOCAUSTDENIAL,N
18332,J_2,A5HOLOCAUSTMECHANISM,N
18332,J_2,A5HOLOCAUSTMINIMIZE,N
26103,J_2,A4DOGWHISTLE,N
26103,J_2,A4ROTHSCHILD,N
26103,J_2,A4ISRAELEVIL,N
26103,J_2,A4ISRAELINFLUENCE,N
26103,J_2,A5HOLOCAUSTDENIAL,N
26103,J_2,A5HOLOCAUSTMECHANISM,N
26103,J_2,A5HOLOCAUSTMINIMIZE,N
8069,J_2,A4DOGWHISTLE,E
8069,J_2,A4ROTHSCHILD,N
8069,J_2,A4ISRAELEVIL,N
8069,J_2,A4ISRAELINFLUENCE,N
8069,J_2,A5HOLOCAUSTDENIAL,N
8069,J_2,A5HOLOCAUSTMECHANISM,N
8069,J_2,A5HOLOCAUSTMINIMIZE,N
28827,J_2,A4DOGWHISTLE,N
28827,J_2,A4ROTHSCHILD,N
28827,J_2,A4ISRAELEVIL,N
28827,J_2,A4ISRAELINFLUENCE,N
28827,J_2,A5HOLOCAUSTDENIAL,N
28827,J_2,A5HOLOCAUSTMECHANISM,N
28827,J_2,A5HOLOCAUSTMINIMIZE,N
27146,J_2,A4DOGWHISTLE,N
27146,J_2,A4ROTHSCHILD,N
27146,J_2,A4ISRAELEVIL,N
27146,J_2,A4ISRAELINFLUENCE,N
27146,J_2,A5HOLOCAUSTDENIAL,N
27146,J_2,A5HOLOCAUSTMECHANISM,N
27146,J_2,A5HOLOCAUSTMINIMIZE,N
25261,J_2,A4DOGWHISTLE,N
25261,J_2,A4ROTHSCHILD,N
25261,J_2,A4ISRAELEVIL,N
25261,J_2,A4ISRAELINFLUENCE,N
25261,J_2,A5HOLOCAUSTDENIAL,N
25261,J_2,A5HOLOCAUSTMECHANISM,N
25261,J_2,A5HOLOCAUSTMINIMIZE,N
30140,J_2,A4DOGWHISTLE,N
30140,J_2,A4ROTHSCHILD,N
30140,J_2,A4ISRAELEVIL,A
30140,J_2,A4ISRAELINFLUENCE,N
30140,J_2,A5HOLOCAUSTDENIAL,N
30140,J_2,A5HOLOCAUSTMECHANISM,N
30140,J_2,A5HOLOCAUSTMINIMIZE,N
48907,J_2,A4DOGWHISTLE,N
48907,J_2,A4ROTHSCHILD,N
48907,J_2,A4ISRAELEVIL,N
48907,J_2,A4ISRAELINFLUENCE,N
48907,J_2,A5HOLOCAUSTDENIAL,N
48907,J_2,A5HOLOCAUSTMECHANISM,N
48907,J_2,A5HOLOCAUSTMINIMIZE,N
41103,J_2,A4DOGWHISTLE,N
41103,J_2,A4ROTHSCHILD,N
41103,J_2,A4ISRAELEVIL,N
41103,J_2,A4ISRAELINFLUENCE,N
41103,J_2,A5HOLOCAUSTDENIAL,N
41103,J_2,A5HOLOCAUSTMECHANISM,N
41103,J_2,A5HOLOCAUSTMINIMIZE,N
42268,J_2,A4DOGWHISTLE,I
42268,J_2,A4ROTHSCHILD,N
42268,J_2,A4ISRAELEVIL,I
42268,J_2,A4ISRAELINFLUENCE,E
42268,J_2,A5HOLOCAUSTDENIAL,N
42268,J_2,A5HOLOCAUSTMECHANISM,N
42268,J_2,A5HOLOCAUSTMINIMIZE,N
47821,J_2,A4DOGWHISTLE,E
47821,J_2,A4ROTHSCHILD,N
47821,J_2,A4ISRAELEVIL,N
47821,J_2,A4ISRAELINFLUENCE,I
47821,J_2,A5HOLOCAUSTDENIAL,N
47821,J_2,A5HOLOCAUSTMECHANISM,N
47821,J_2,A5HOLOCAUSTMINIMIZE,N
13683,J_2,A4DOGWHISTLE,N
13683,J_2,A4ROTHSCHILD,N
13683,J_2,A4ISRAELEVIL,N
13683,J_2,A4ISRAELINFLUENCE,N
13683,J_2,A5HOLOCAUSTDENIAL,N
13683,J_2,A5HOLOCAUSTMECHANISM,N
13683,J_2,A5HOLOCAUSTMINIMIZE,N
