comment_id,block,code_id,label
10880,N_1,N1BELIEFS,N
10880,N_1,N1NEGATIVEATTITUDE,N
10880,N_1,N1HOSTILECONDUCT,N
10880,N_1,N1DISCRIMINATION,N
44266,N_1,N1BELIEFS,I
44266,N_1,N1NEGATIVEATTITUDE,I
44266,N_1,N1HOSTILECONDUCT,N
44266,N_1,N1DISCRIMINATION,N
3425,N_1,N1BELIEFS,N
3425,N_1,N1NEGATIVEATTITUDE,N
3425,N_1,N1HOSTILECONDUCT,N
3425,N_1,N1DISCRIMINATION,N
33025,N_1,N1BELIEFS,N
33025,N_1,N1NEGATIVEATTITUDE,N
33025,N_1,N1HOSTILECONDUCT,N
33025,N_1,N1DISCRIMINATION,N
1591,N_1,N1BELIEFS,N
1591,N_1,N1NEGATIVEATTITUDE,N
1591,N_1,N1HOSTILECONDUCT,N
1591,N_1,N1DISCRIMINATION,N
5798,N_1,N1BELIEFS,N
5798,N_1,N1NEGATIVEATTITUDE,N
5798,N_1,N1HOSTILECONDUCT,N
5798,N_1,N1DISCRIMINATION,N
30035,N_1,N1BELIEFS,N
30035,N_1,N1NEGATIVEATTITUDE,N
30035,N_1,N1HOSTILECONDUCT,N
30035,N_1,N1DISCRIMINATION,N
321,N_1,N1BELIEFS,N
321,N_1,N1NEGATIVEATTITUDE,N
321,N_1,N1HOSTILECONDUCT,N
321,N_1,N1DISCRIMINATION,N
41753,N_1,N1BELIEFS,E
41753,N_1,N1NEGATIVEATTITUDE,E
41753,N_1,N1HOSTILECONDUCT,N
41753,N_1,N1DISCRIMINATION,N
10680,N_1,N1BELIEFS,E
10680,N_1,N1NEGATIVEATTITUDE,E
10680,N_1,N1HOSTILECONDUCT,N
10680,N_1,N1DISCRIMINATION,N
27078,N_1,N1BELIEFS,N
27078,N_1,N1NEGATIVEATTITUDE,N
27078,N_1,N1HOSTILECONDUCT,N
27078,N_1,N1DISCRIMINATION,N
49208,N_1,N1BELIEFS,N
49208,N_1,N1NEGATIVEATTITUDE,N
49208,N_1,N1HOSTILECONDUCT,N
49208,N_1,N1DISCRIMINATION,N
47406,N_1,N1BELIEFS,N
47406,N_1,N1NEGATIVEATTITUDE,N
47406,N_1,N1HOSTILECONDUCT,N
47406,N_1,N1DISCRIMINATION,N
19796,N_1,N1BELIEFS,N
19796,N_1,N1NEGATIVEATTITUDE,N
19796,N_1,N1HOSTILECONDUCT,N
19796,N_1,N1DISCRIMINATION,N
9205,N_1,N1BELIEFS,E
9205,N_1,N1NEGATIVEATTITUDE,E
9205,N_1,N1HOSTILECONDUCT,A
9205,N_1,N1DISCRIMINATION,N
48475,N_1,N1BELIEFS,N
48475,N_1,N1NEGATIVEATTITUDE,N
48475,N_1,N1HOSTILECONDUCT,N
48475,N_1,N1DISCRIMINATION,N
738,N_1,N1BELIEFS,I
738,N_1,N1NEGATIVEATTITUDE,I
738,N_1,N1HOSTILECONDUCT,N
738,N_1,N1DISCRIMINATION,N
33026,N_1,N1BELIEFS,N
33026,N_1,N1NEGATIVEATTITUDE,N
33026,N_1,N1HOSTILECONDUCT,N
33026,N_1,N1DISCRIMINATION,N
49849,N_1,N1BELIEFS,N
49849,N_1,N1NEGATIVEATTITUDE,N
49849,N_1,N1HOSTILECONDUCT,N
49849,N_1,N1DISCRIMINATION,N
31074,N_1,N1BELIEFS,A
31074,N_1,N1NEGATIVEATTITUDE,A
31074,N_1,N1HOSTILECONDUCT,A
31074,N_1,N1DISCRIMINATION,N
45242,N_1,N1BELIEFS,A
45242,N_1,N1NEGATIVEATTITUDE,A
45242,N_1,N1HOSTILECONDUCT,N
45242,N_1,N1DISCRIMINATION,N
6269,N_1,N1BELIEFS,N
6269,N_1,N1NEGATIVEATTITUDE,N
6269,N_1,N1HOSTILECONDUCT,N
6269,N_1,N1DISCRIMINATION,N
1495,N_1,N1BELIEFS,A
1495,N_1,N1NEGATIVEATTITUDE,N
1495,N_1,N1HOSTILECONDUCT,N
1495,N_1,N1DISCRIMINATION,N
5085,N_1,N1BELIEFS,N
5085,N_1,N1NEGATIVEATTITUDE,N
5085,N_1,N1HOSTILECONDUCT,N
5085,N_1,N1DISCRIMINATION,N
49332,N_1,N1BELIEFS,A
49332,N_1,N1NEGATIVEATTITUDE,A
49332,N_1,N1HOSTILECONDUCT,A
49332,N_1,N1DISCRIMINATION,A
37159,N_1,N1BELIEFS,E
37159,N_1,N1NEGATIVEATTITUDE,E
37159,N_1,N1HOSTILECONDUCT,E
37159,N_1,N1DISCRIMINATION,N
40663,N_1,N1BELIEFS,A
40663,N_1,N1NEGATIVEATTITUDE,A
40663,N_1,N1HOSTILECONDUCT,N
40663,N_1,N1DISCRIMINATION,N
12356,N_1,N1BELIEFS,N
12356,N_1,N1NEGATIVEATTITUDE,N
12356,N_1,N1HOSTILECONDUCT,N
12356,N_1,N1DISCRIMINATION,N
25894,N_1,N1BELIEFS,N
25894,N_1,N1NEGATIVEATTITUDE,N
25894,N_1,N1HOSTILECONDUCT,N
25894,N_1,N1DISCRIMINATION,N
5554,N_1,N1BELIEFS,N
5554,N_1,N1NEGATIVEATTITUDE,N
5554,N_1,N1HOSTILECONDUCT,N
5554,N_1,N1DISCRIMINATION,N
8029,N_1,N1BELIEFS,N
8029,N_1,N1NEGATIVEATTITUDE,N
8029,N_1,N1HOSTILECONDUCT,N
8029,N_1,N1DISCRIMINATION,N
3915,N_1,N1BELIEFS,N
3915,N_1,N1NEGATIVEATTITUDE,N
3915,N_1,N1HOSTILECONDUCT,N
3915,N_1,N1DISCRIMINATION,N
5371,N_1,N1BELIEFS,N
5371,N_1,N1NEGATIVEATTITUDE,N
