comment_id,block,code_id,label,label_source
41172,N_2,N2CONSPIRACY,N,sonnet
41172,N_2,N2CONTROLMEDIA,N,sonnet
41172,N_2,N2CONTROLECONOMY,N,sonnet
41172,N_2,N2CONTROLGOV,N,sonnet
41172,N_2,N2CONTROLOTHER,N,sonnet
41172,N_2,N3COLLECTIVEBLAME,N,sonnet
41172,N_2,N4HIDDENCONSPIRACY,N,sonnet
41172,N_2,N4ISRAELHAND,N,sonnet
41172,N_2,N5LOYALTY,N,sonnet
41172,N_2,N6IDENTITYDENY,N,sonnet
41172,N_2,N7COLLECTIVEGUILT,N,sonnet
41172,N_2,N8VIOLENCE,N,sonnet
41172,N_2,N9INCITEMENT,N,sonnet
41172,N_2,N10SELFDETERMINATION,N,sonnet
41172,N_2,N11JEWISHRIGHTSDEFINE,N,sonnet
41172,N_2,N11SELFDETERMINATION,N,sonnet
41172,N_2,N11JEWISHRIGHTS,N,sonnet
41172,N_2,N12DOUBLESTANDARD,N,sonnet
12808,N_2,N2CONSPIRACY,N,sonnet
12808,N_2,N2CONTROLMEDIA,N,sonnet
12808,N_2,N2CONTROLECONOMY,N,sonnet
12808,N_2,N2CONTROLGOV,N,sonnet
12808,N_2,N2CONTROLOTHER,N,sonnet
12808,N_2,N3COLLECTIVEBLAME,N,sonnet
12808,N_2,N4HIDDENCONSPIRACY,N,sonnet
12808,N_2,N4ISRAELHAND,N,sonnet
12808,N_2,N5LOYALTY,N,sonnet
12808,N_2,N6IDENTITYDENY,N,sonnet
12808,N_2,N7COLLECTIVEGUILT,N,sonnet
12808,N_2,N8VIOLENCE,N,sonnet
12808,N_2,N9INCITEMENT,N,sonnet
12808,N_2,N10SELFDETERMINATION,N,sonnet
12808,N_2,N11JEWISHRIGHTSDEFINE,N,sonnet
12808,N_2,N11SELFDETERMINATION,N,sonnet
12808,N_2,N11JEWISHRIGHTS,N,sonnet
12808,N_2,N12DOUBLESTANDARD,N,sonnet
47654,N_2,N2CONSPIRACY,N,sonnet
