comment_id,block,code_id,label,label_source
31622,N_NO_1,N13ISRAELCRITICISM,N,sonnet
31622,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
31622,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
31622,N_NO_1,N15HARSHCRITICISM,N,sonnet
31622,N_NO_1,N16OPPOSITION,N,sonnet
31622,N_NO_1,N16NATIONALISM,N,sonnet
31622,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
31622,N_NO_1,N17DISPROPORTIONATE,N,sonnet
32948,N_NO_1,N13ISRAELCRITICISM,N,sonnet
32948,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
32948,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
32948,N_NO_1,N15HARSHCRITICISM,N,sonnet
32948,N_NO_1,N16OPPOSITION,N,sonnet
32948,N_NO_1,N16NATIONALISM,N,sonnet
32948,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
32948,N_NO_1,N17DISPROPORTIONATE,N,sonnet
3232,N_NO_1,N13ISRAELCRITICISM,N,sonnet
3232,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
3232,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
3232,N_NO_1,N15HARSHCRITICISM,N,sonnet
3232,N_NO_1,N16OPPOSITION,N,sonnet
3232,N_NO_1,N16NATIONALISM,N,sonnet
3232,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
3232,N_NO_1,N17DISPROPORTIONATE,N,sonnet
28642,N_NO_1,N13ISRAELCRITICISM,N,sonnet
28642,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
28642,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
28642,N_NO_1,N15HARSHCRITICISM,N,sonnet
28642,N_NO_1,N16OPPOSITION,N,sonnet
28642,N_NO_1,N16NATIONALISM,N,sonnet
28642,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
28642,N_NO_1,N17DISPROPORTIONATE,N,sonnet
16811,N_NO_1,N13ISRAELCRITICISM,N,sonnet
16811,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
16811,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
16811,N_NO_1,N15HARSHCRITICISM,N,sonnet
16811,N_NO_1,N16OPPOSITION,N,sonnet
16811,N_NO_1,N16NATIONALISM,N,sonnet
16811,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
16811,N_NO_1,N17DISPROPORTIONATE,N,sonnet
10526,N_NO_1,N13ISRAELCRITICISM,N,sonnet
10526,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
10526,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
10526,N_NO_1,N15HARSHCRITICISM,N,sonnet
10526,N_NO_1,N16OPPOSITION,N,sonnet
10526,N_NO_1,N16NATIONALISM,N,sonnet
10526,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
10526,N_NO_1,N17DISPROPORTIONATE,N,sonnet
21585,N_NO_1,N13ISRAELCRITICISM,N,sonnet
21585,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
21585,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
21585,N_NO_1,N15HARSHCRITICISM,N,sonnet
21585,N_NO_1,N16OPPOSITION,N,sonnet
21585,N_NO_1,N16NATIONALISM,N,sonnet
21585,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
21585,N_NO_1,N17DISPROPORTIONATE,N,sonnet
42919,N_NO_1,N13ISRAELCRITICISM,N,sonnet
42919,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
42919,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
42919,N_NO_1,N15HARSHCRITICISM,N,sonnet
42919,N_NO_1,N16OPPOSITION,N,sonnet
42919,N_NO_1,N16NATIONALISM,N,sonnet
42919,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
42919,N_NO_1,N17DISPROPORTIONATE,N,sonnet
45616,N_NO_1,N13ISRAELCRITICISM,N,sonnet
45616,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
45616,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
45616,N_NO_1,N15HARSHCRITICISM,N,sonnet
45616,N_NO_1,N16OPPOSITION,N,sonnet
45616,N_NO_1,N16NATIONALISM,N,sonnet
45616,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
45616,N_NO_1,N17DISPROPORTIONATE,N,sonnet
9592,N_NO_1,N13ISRAELCRITICISM,N,sonnet
9592,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
9592,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
9592,N_NO_1,N15HARSHCRITICISM,N,sonnet
9592,N_NO_1,N16OPPOSITION,N,sonnet
9592,N_NO_1,N16NATIONALISM,N,sonnet
9592,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
9592,N_NO_1,N17DISPROPORTIONATE,N,sonnet
14831,N_NO_1,N13ISRAELCRITICISM,N,sonnet
14831,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
14831,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
14831,N_NO_1,N15HARSHCRITICISM,N,sonnet
14831,N_NO_1,N16OPPOSITION,N,sonnet
14831,N_NO_1,N16NATIONALISM,N,sonnet
14831,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
14831,N_NO_1,N17DISPROPORTIONATE,N,sonnet
4031,N_NO_1,N13ISRAELCRITICISM,N,sonnet
4031,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
4031,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
4031,N_NO_1,N15HARSHCRITICISM,N,sonnet
4031,N_NO_1,N16OPPOSITION,N,sonnet
4031,N_NO_1,N16NATIONALISM,N,sonnet
4031,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
4031,N_NO_1,N17DISPROPORTIONATE,N,sonnet
658,N_NO_1,N13ISRAELCRITICISM,N,sonnet
658,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
658,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
658,N_NO_1,N15HARSHCRITICISM,N,sonnet
658,N_NO_1,N16OPPOSITION,N,sonnet
658,N_NO_1,N16NATIONALISM,N,sonnet
658,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
658,N_NO_1,N17DISPROPORTIONATE,N,sonnet
42400,N_NO_1,N13ISRAELCRITICISM,N,sonnet
42400,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
42400,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
42400,N_NO_1,N15HARSHCRITICISM,N,sonnet
42400,N_NO_1,N16OPPOSITION,N,sonnet
42400,N_NO_1,N16NATIONALISM,N,sonnet
42400,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
42400,N_NO_1,N17DISPROPORTIONATE,N,sonnet
48597,N_NO_1,N13ISRAELCRITICISM,N,sonnet
48597,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
48597,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
48597,N_NO_1,N15HARSHCRITICISM,N,sonnet
48597,N_NO_1,N16OPPOSITION,N,sonnet
48597,N_NO_1,N16NATIONALISM,N,sonnet
48597,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
48597,N_NO_1,N17DISPROPORTIONATE,N,sonnet
46344,N_NO_1,N13ISRAELCRITICISM,N,sonnet
46344,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
46344,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
46344,N_NO_1,N15HARSHCRITICISM,N,sonnet
46344,N_NO_1,N16OPPOSITION,N,sonnet
46344,N_NO_1,N16NATIONALISM,N,sonnet
46344,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
46344,N_NO_1,N17DISPROPORTIONATE,N,sonnet
44955,N_NO_1,N13ISRAELCRITICISM,N,sonnet
44955,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
44955,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
44955,N_NO_1,N15HARSHCRITICISM,N,sonnet
44955,N_NO_1,N16OPPOSITION,N,sonnet
44955,N_NO_1,N16NATIONALISM,N,sonnet
44955,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
44955,N_NO_1,N17DISPROPORTIONATE,N,sonnet
16610,N_NO_1,N13ISRAELCRITICISM,N,sonnet
16610,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
16610,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
16610,N_NO_1,N15HARSHCRITICISM,N,sonnet
16610,N_NO_1,N16OPPOSITION,N,sonnet
16610,N_NO_1,N16NATIONALISM,N,sonnet
16610,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
16610,N_NO_1,N17DISPROPORTIONATE,N,sonnet
14935,N_NO_1,N13ISRAELCRITICISM,N,sonnet
14935,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
14935,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
14935,N_NO_1,N15HARSHCRITICISM,N,sonnet
14935,N_NO_1,N16OPPOSITION,N,sonnet
14935,N_NO_1,N16NATIONALISM,N,sonnet
14935,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
14935,N_NO_1,N17DISPROPORTIONATE,N,sonnet
7085,N_NO_1,N13ISRAELCRITICISM,N,sonnet
7085,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
7085,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
7085,N_NO_1,N15HARSHCRITICISM,N,sonnet
7085,N_NO_1,N16OPPOSITION,N,sonnet
7085,N_NO_1,N16NATIONALISM,N,sonnet
7085,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
7085,N_NO_1,N17DISPROPORTIONATE,N,sonnet
13368,N_NO_1,N13ISRAELCRITICISM,N,sonnet
13368,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
13368,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
13368,N_NO_1,N15HARSHCRITICISM,N,sonnet
13368,N_NO_1,N16OPPOSITION,N,sonnet
13368,N_NO_1,N16NATIONALISM,N,sonnet
13368,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
13368,N_NO_1,N17DISPROPORTIONATE,N,sonnet
20379,N_NO_1,N13ISRAELCRITICISM,N,sonnet
20379,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
20379,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
20379,N_NO_1,N15HARSHCRITICISM,N,sonnet
20379,N_NO_1,N16OPPOSITION,N,sonnet
20379,N_NO_1,N16NATIONALISM,N,sonnet
20379,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
20379,N_NO_1,N17DISPROPORTIONATE,N,sonnet
25790,N_NO_1,N13ISRAELCRITICISM,N,sonnet
25790,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
25790,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
25790,N_NO_1,N15HARSHCRITICISM,N,sonnet
25790,N_NO_1,N16OPPOSITION,N,sonnet
25790,N_NO_1,N16NATIONALISM,N,sonnet
25790,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
25790,N_NO_1,N17DISPROPORTIONATE,N,sonnet
22558,N_NO_1,N13ISRAELCRITICISM,N,sonnet
22558,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
22558,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
22558,N_NO_1,N15HARSHCRITICISM,N,sonnet
22558,N_NO_1,N16OPPOSITION,N,sonnet
22558,N_NO_1,N16NATIONALISM,N,sonnet
22558,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
22558,N_NO_1,N17DISPROPORTIONATE,N,sonnet
31823,N_NO_1,N13ISRAELCRITICISM,N,sonnet
31823,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
31823,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
31823,N_NO_1,N15HARSHCRITICISM,N,sonnet
31823,N_NO_1,N16OPPOSITION,N,sonnet
31823,N_NO_1,N16NATIONALISM,N,sonnet
31823,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
31823,N_NO_1,N17DISPROPORTIONATE,N,sonnet
4399,N_NO_1,N13ISRAELCRITICISM,N,sonnet
4399,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
4399,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
4399,N_NO_1,N15HARSHCRITICISM,N,sonnet
4399,N_NO_1,N16OPPOSITION,N,sonnet
4399,N_NO_1,N16NATIONALISM,N,sonnet
4399,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
4399,N_NO_1,N17DISPROPORTIONATE,N,sonnet
20067,N_NO_1,N13ISRAELCRITICISM,N,sonnet
20067,N_NO_1,N14SUPPRESSIONFREEDOM,N,sonnet
20067,N_NO_1,N14SUPPRESSIONDIALOGUE,N,sonnet
20067,N_NO_1,N15HARSHCRITICISM,N,sonnet
20067,N_NO_1,N16OPPOSITION,N,sonnet
20067,N_NO_1,N16NATIONALISM,N,sonnet
20067,N_NO_1,N16ADVERSEEXPERIENCE,N,sonnet
