comment_id,A1ESSENTIAL_E,A1ESSENTIAL_I,A1ESSENTIAL_A,A2COLLECTIVEAGENDA_E,A2COLLECTIVEAGENDA_I,A2COLLECTIVEAGENDA_A,A2CONSPIRACY_E,A2CONSPIRACY_I,A2CONSPIRACY_A,A2CONTROLBANKS_E,A2CONTROLBANKS_I,A2CONTROLBANKS_A,A2CONTROLGOV_E,A2CONTROLGOV_I,A2CONTROLGOV_A,A2CONTROLMEDIA_E,A2CONTROLMEDIA_I,A2CONTROLMEDIA_A,A2DISEASE_E,A2DISEASE_I,A2DISEASE_A,A2EVIL_E,A2EVIL_I,A2EVIL_A,A2HIDDENPOWER_E,A2HIDDENPOWER_I,A2HIDDENPOWER_A,A2LOYALTY_E,A2LOYALTY_I,A2LOYALTY_A,A3CARICATURE_E,A3CARICATURE_I,A3CARICATURE_A,A3DISCRIMINATION_E,A3DISCRIMINATION_I,A3DISCRIMINATION_A,A3STINGY_E,A3STINGY_I,A3STINGY_A,A3SWASTIKA_E,A3SWASTIKA_I,A3SWASTIKA_A,A3SYNAGOGUE_E,A3SYNAGOGUE_I,A3SYNAGOGUE_A,A3UNPATRIOTIC_E,A3UNPATRIOTIC_I,A3UNPATRIOTIC_A,A3VIOLENCE_E,A3VIOLENCE_I,A3VIOLENCE_A,A3WEALTH_E,A3WEALTH_I,A3WEALTH_A,A4DOGWHISTLE_E,A4DOGWHISTLE_I,A4DOGWHISTLE_A,A4ISRAELEVIL_E,A4ISRAELEVIL_I,A4ISRAELEVIL_A,A4ISRAELINFLUENCE_E,A4ISRAELINFLUENCE_I,A4ISRAELINFLUENCE_A,A4ROTHSCHILD_E,A4ROTHSCHILD_I,A4ROTHSCHILD_A,A5HOLOCAUSTDENIAL_E,A5HOLOCAUSTDENIAL_I,A5HOLOCAUSTDENIAL_A,A5HOLOCAUSTMECHANISM_E,A5HOLOCAUSTMECHANISM_I,A5HOLOCAUSTMECHANISM_A,A5HOLOCAUSTMINIMIZE_E,A5HOLOCAUSTMINIMIZE_I,A5HOLOCAUSTMINIMIZE_A,B10JEWISHRIGHTS_E,B10JEWISHRIGHTS_I,B10JEWISHRIGHTS_A,B6CHARACTERIZEISRAEL_E,B6CHARACTERIZEISRAEL_I,B6CHARACTERIZEISRAEL_A,B7COLLECTIVEBLAME_E,B7COLLECTIVEBLAME_I,B7COLLECTIVEBLAME_A,B7ISRAELAGENT_E,B7ISRAELAGENT_I,B7ISRAELAGENT_A,B8FORCECONDEMN_E,B8FORCECONDEMN_I,B8FORCECONDEMN_A,B9ISRAELLOYALTY_E,B9ISRAELLOYALTY_I,B9ISRAELLOYALTY_A,C11PALESTINIANJUSTICE_E,C11PALESTINIANJUSTICE_I,C11PALESTINIANJUSTICE_A,C11PALESTINIANRIGHTS_E,C11PALESTINIANRIGHTS_I,C11PALESTINIANRIGHTS_A,C12EQUALRIGHTS_E,C12EQUALRIGHTS_I,C12EQUALRIGHTS_A,C12SOLUTIONS_E,C12SOLUTIONS_I,C12SOLUTIONS_A,C12ZIONCRITICAL_E,C12ZIONCRITICAL_I,C12ZIONCRITICAL_A,C13ISRAELCOMPARE_E,C13ISRAELCOMPARE_I,C13ISRAELCOMPARE_A,C13ISRAELDISCRIMINATION_E,C13ISRAELDISCRIMINATION_I,C13ISRAELDISCRIMINATION_A,C13ISRAELEVIDENCE_E,C13ISRAELEVIDENCE_I,C13ISRAELEVIDENCE_A,C13ISRAELINSTITUTIONS_E,C13ISRAELINSTITUTIONS_I,C13ISRAELINSTITUTIONS_A,C13ISRAELNORMS_E,C13ISRAELNORMS_I,C13ISRAELNORMS_A,C13ISRAELOPT_E,C13ISRAELOPT_I,C13ISRAELOPT_A,C13ISRAELPOLICIES_E,C13ISRAELPOLICIES_I,C13ISRAELPOLICIES_A,C13ISRAELREGION_E,C13ISRAELREGION_I,C13ISRAELREGION_A,C14BDS_E,C14BDS_I,C14BDS_A,C15DOUBLESTANDARD_E,C15DOUBLESTANDARD_I,C15DOUBLESTANDARD_A,C15REASONABLE_E,C15REASONABLE_I,C15REASONABLE_A,D1HATE_E,D1HATE_I,D1HATE_A,D1MANIFEST_E,D1MANIFEST_I,D1MANIFEST_A,D1PERCEPTION_E,D1PERCEPTION_I,D1PERCEPTION_A,D2COLLECTIVEBLAME_E,D2COLLECTIVEBLAME_I,D2COLLECTIVEBLAME_A,D2CONSPIRACY_E,D2CONSPIRACY_I,D2CONSPIRACY_A,D2DOUBLESTANDARD_E,D2DOUBLESTANDARD_I,D2DOUBLESTANDARD_A,D2ISRAELTARGET_E,D2ISRAELTARGET_I,D2ISRAELTARGET_A,D2STEREOTYPE_E,D2STEREOTYPE_I,D2STEREOTYPE_A,E10ISRAELNAZI_E,E10ISRAELNAZI_I,E10ISRAELNAZI_A,E11COLLECTIVEBLAME_E,E11COLLECTIVEBLAME_I,E11COLLECTIVEBLAME_A,E12CRIMINAL_E,E12CRIMINAL_I,E12CRIMINAL_A,E12CRIMINALDENIAL_E,E12CRIMINALDENIAL_I,E12CRIMINALDENIAL_A,E12CRIMINALMATERIAL_E,E12CRIMINALMATERIAL_I,E12CRIMINALMATERIAL_A,E13BUILDINGS_E,E13BUILDINGS_I,E13BUILDINGS_A,E13CEMETERIES_E,E13CEMETERIES_I,E13CEMETERIES_A,E13PEOPLE_E,E13PEOPLE_I,E13PEOPLE_A,E13PROPERTY_E,E13PROPERTY_I,E13PROPERTY_A,E13SCHOOLS_E,E13SCHOOLS_I,E13SCHOOLS_A,E13TARGET_E,E13TARGET_I,E13TARGET_A,E13WORSHIP_E,E13WORSHIP_I,E13WORSHIP_A,E14DISCRIMINATION_E,E14DISCRIMINATION_I,E14DISCRIMINATION_A,E1RADICAL_E,E1RADICAL_I,E1RADICAL_A,E1VIOLENCE_E,E1VIOLENCE_I,E1VIOLENCE_A,E2ALLEGATION_E,E2ALLEGATION_I,E2ALLEGATION_A,E2COLLECTIVEPOWER_E,E2COLLECTIVEPOWER_I,E2COLLECTIVEPOWER_A,E2CONSPIRACY_E,E2CONSPIRACY_I,E2CONSPIRACY_A,E2CONTROLECONOMY_E,E2CONTROLECONOMY_I,E2CONTROLECONOMY_A,E2CONTROLGOV_E,E2CONTROLGOV_I,E2CONTROLGOV_A,E2CONTROLMEDIA_E,E2CONTROLMEDIA_I,E2CONTROLMEDIA_A,E2CONTROLOTHER_E,E2CONTROLOTHER_I,E2CONTROLOTHER_A,E2DEHUMANIZATION_E,E2DEHUMANIZATION_I,E2DEHUMANIZATION_A,E2DEMONIZE_E,E2DEMONIZE_I,E2DEMONIZE_A,E2STEREOTYPE_E,E2STEREOTYPE_I,E2STEREOTYPE_A,E3COLLECTIVEBLAME_E,E3COLLECTIVEBLAME_I,E3COLLECTIVEBLAME_A,E4HOLOCAUSTDENIAL_E,E4HOLOCAUSTDENIAL_I,E4HOLOCAUSTDENIAL_A,E4HOLOCAUSTINTENT_E,E4HOLOCAUSTINTENT_I,E4HOLOCAUSTINTENT_A,E4HOLOCAUSTMECHANISM_E,E4HOLOCAUSTMECHANISM_I,E4HOLOCAUSTMECHANISM_A,E4HOLOCAUSTMINIMIZE_E,E4HOLOCAUSTMINIMIZE_I,E4HOLOCAUSTMINIMIZE_A,E5HOLOCAUSTEXAGGERATE_E,E5HOLOCAUSTEXAGGERATE_I,E5HOLOCAUSTEXAGGERATE_A,E5HOLOCAUSTINVENT_E,E5HOLOCAUSTINVENT_I,E5HOLOCAUSTINVENT_A,E6GLOBALLOYALTY_E,E6GLOBALLOYALTY_I,E6GLOBALLOYALTY_A,E6ISRAELLOYALTY_E,E6ISRAELLOYALTY_I,E6ISRAELLOYALTY_A,E7ISRAELRACIST_E,E7ISRAELRACIST_I,E7ISRAELRACIST_A,E7JEWISHRIGHTS_E,E7JEWISHRIGHTS_I,E7JEWISHRIGHTS_A,E8DOUBLESTANDARD_E,E8DOUBLESTANDARD_I,E8DOUBLESTANDARD_A,E8UNIQUEDEMAND_E,E8UNIQUEDEMAND_I,E8UNIQUEDEMAND_A,E9BLOODLIBEL_E,E9BLOODLIBEL_I,E9BLOODLIBEL_A,E9CHARACTERIZEISRAEL_E,E9CHARACTERIZEISRAEL_I,E9CHARACTERIZEISRAEL_A,E9CLASSICSYMBOL_E,E9CLASSICSYMBOL_I,E9CLASSICSYMBOL_A,E9JESUSKILLING_E,E9JESUSKILLING_I,E9JESUSKILLING_A,N10SELFDETERMINATION_E,N10SELFDETERMINATION_I,N10SELFDETERMINATION_A,N11JEWISHRIGHTS_E,N11JEWISHRIGHTS_I,N11JEWISHRIGHTS_A,N11JEWISHRIGHTSDEFINE_E,N11JEWISHRIGHTSDEFINE_I,N11JEWISHRIGHTSDEFINE_A,N11SELFDETERMINATION_E,N11SELFDETERMINATION_I,N11SELFDETERMINATION_A,N12DOUBLESTANDARD_E,N12DOUBLESTANDARD_I,N12DOUBLESTANDARD_A,N13ISRAELCRITICISM_E,N13ISRAELCRITICISM_I,N13ISRAELCRITICISM_A,N14SUPPRESSIONDIALOGUE_E,N14SUPPRESSIONDIALOGUE_I,N14SUPPRESSIONDIALOGUE_A,N14SUPPRESSIONFREEDOM_E,N14SUPPRESSIONFREEDOM_I,N14SUPPRESSIONFREEDOM_A,N15HARSHCRITICISM_E,N15HARSHCRITICISM_I,N15HARSHCRITICISM_A,N16ADVERSEEXPERIENCE_E,N16ADVERSEEXPERIENCE_I,N16ADVERSEEXPERIENCE_A,N16NATIONALISM_E,N16NATIONALISM_I,N16NATIONALISM_A,N16OPPOSITION_E,N16OPPOSITION_I,N16OPPOSITION_A,N17DISPROPORTIONATE_E,N17DISPROPORTIONATE_I,N17DISPROPORTIONATE_A,N1BELIEFS_E,N1BELIEFS_I,N1BELIEFS_A,N1DISCRIMINATION_E,N1DISCRIMINATION_I,N1DISCRIMINATION_A,N1HOSTILECONDUCT_E,N1HOSTILECONDUCT_I,N1HOSTILECONDUCT_A,N1NEGATIVEATTITUDE_E,N1NEGATIVEATTITUDE_I,N1NEGATIVEATTITUDE_A,N2CONSPIRACY_E,N2CONSPIRACY_I,N2CONSPIRACY_A,N2CONTROLECONOMY_E,N2CONTROLECONOMY_I,N2CONTROLECONOMY_A,N2CONTROLGOV_E,N2CONTROLGOV_I,N2CONTROLGOV_A,N2CONTROLMEDIA_E,N2CONTROLMEDIA_I,N2CONTROLMEDIA_A,N2CONTROLOTHER_E,N2CONTROLOTHER_I,N2CONTROLOTHER_A,N3COLLECTIVEBLAME_E,N3COLLECTIVEBLAME_I,N3COLLECTIVEBLAME_A,N4HIDDENCONSPIRACY_E,N4HIDDENCONSPIRACY_I,N4HIDDENCONSPIRACY_A,N4ISRAELHAND_E,N4ISRAELHAND_I,N4ISRAELHAND_A,N5LOYALTY_E,N5LOYALTY_I,N5LOYALTY_A,N6IDENTITYDENY_E,N6IDENTITYDENY_I,N6IDENTITYDENY_A,N7COLLECTIVEGUILT_E,N7COLLECTIVEGUILT_I,N7COLLECTIVEGUILT_A,N8VIOLENCE_E,N8VIOLENCE_I,N8VIOLENCE_A,N9INCITEMENT_E,N9INCITEMENT_I,N9INCITEMENT_A
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
