comment_id,hate_speech_score,ordinal_label,fold
17090,-3.03,supportive,1.0
26214,0.45,neutral,4.0
46846,-3.26,supportive,4.0
42264,0.4,neutral,0.0
34131,0.36,neutral,3.0
41554,-3.15,supportive,1.0
33238,0.05,neutral,2.0
43431,2.32,hate,4.0
40697,0.52,hate,0.0
38937,-2.81,supportive,1.0
25695,-1.7,supportive,3.0
12106,-1.17,supportive,4.0
40914,-4.01,supportive,1.0
48952,1.41,hate,0.0
26245,0.5,neutral,2.0
7761,-2.45,supportive,3.0
41119,0.87,hate,3.0
18838,0.57,hate,3.0
48322,-1.47,supportive,1.0
30721,1.91,hate,4.0
48062,0.25,neutral,4.0
28704,-0.23,neutral,3.0
30401,-2.21,supportive,3.0
31888,0.33,neutral,4.0
12020,-1.79,supportive,0.0
44328,-0.59,neutral,1.0
27953,0.99,hate,0.0
13432,-0.86,neutral,1.0
7160,-2.81,supportive,1.0
16902,-2.75,supportive,2.0
903,-0.39,neutral,3.0
49558,-0.7,neutral,4.0
28642,-3.86,supportive,4.0
39849,-5.02,supportive,1.0
19533,-0.84,neutral,1.0
4666,-3.39,supportive,2.0
22873,0.09,neutral,3.0
13270,-0.54,neutral,3.0
35282,-0.25,neutral,0.0
16607,-0.09,neutral,1.0
40521,1.37,hate,3.0
12621,-1.03,supportive,1.0
16273,0.94,hate,4.0
40455,-3.09,supportive,0.0
43754,-1.05,supportive,2.0
49652,0.6,hate,4.0
3107,0.53,hate,0.0
34086,-0.37,neutral,0.0
40695,-2.37,supportive,3.0
16970,0.45,neutral,2.0
3405,-0.74,neutral,2.0
6073,-0.32,neutral,0.0
4933,-0.1,neutral,3.0
9181,-0.1,neutral,1.0
37390,-1.69,supportive,0.0
36058,-2.4,supportive,0.0
21592,1.96,hate,0.0
37220,-2.46,supportive,2.0
16766,-6.43,supportive,2.0
26688,0.63,hate,3.0
8690,-0.85,neutral,2.0
19266,-1.84,supportive,0.0
4241,3.42,hate,4.0
29771,-0.8,neutral,2.0
45734,-4.39,supportive,0.0
27281,0.78,hate,1.0
16556,0.58,hate,0.0
18609,-1.74,supportive,4.0
21885,-3.66,supportive,1.0
12837,-3.86,supportive,1.0
39821,-5.17,supportive,0.0
41776,-5.5,supportive,4.0
27673,0.97,hate,2.0
49143,-1.8,supportive,4.0
28707,-2.81,supportive,4.0
7992,1.91,hate,0.0
9295,0.26,neutral,0.0
34747,-0.1,neutral,0.0
24774,0.68,hate,4.0
45757,-0.4,neutral,3.0
49569,1.31,hate,1.0
49357,0.79,hate,1.0
7525,-1.67,supportive,4.0
42646,3.71,hate,4.0
42919,-2.18,supportive,4.0
11840,3.61,hate,3.0
6452,-3.7,supportive,0.0
38068,1.39,hate,2.0
43823,-0.73,neutral,0.0
1071,-3.0,supportive,2.0
15021,-2.83,supportive,2.0
16812,0.54,hate,0.0
10670,-1.3,supportive,0.0
36710,-0.07,neutral,2.0
109,-0.53,neutral,1.0
31512,-1.59,supportive,1.0
47419,-0.02,neutral,3.0
48088,-0.35,neutral,4.0
19073,-0.1,neutral,3.0
43101,0.08,neutral,1.0
50034,-3.23,supportive,0.0
738,-0.77,neutral,1.0
2754,-2.59,supportive,3.0
30599,-3.48,supportive,1.0
18730,1.55,hate,2.0
44588,-0.68,neutral,3.0
4031,0.83,hate,1.0
46201,-1.08,supportive,0.0
48722,2.96,hate,2.0
9205,0.07,neutral,3.0
42167,1.65,hate,1.0
19452,-2.13,supportive,3.0
47336,0.39,neutral,4.0
36452,-1.21,supportive,1.0
18816,-3.59,supportive,3.0
45420,1.26,hate,3.0
7672,1.44,hate,2.0
45707,1.84,hate,1.0
45042,0.1,neutral,4.0
11419,-5.4,supportive,4.0
17104,1.55,hate,0.0
27940,-0.93,neutral,1.0
19403,-1.86,supportive,3.0
11952,0.72,hate,1.0
40427,-0.36,neutral,2.0
9340,2.39,hate,3.0
34321,-0.07,neutral,2.0
38058,-2.41,supportive,3.0
10370,1.09,hate,4.0
48944,1.95,hate,4.0
41445,-3.03,supportive,2.0
3722,-1.44,supportive,3.0
40149,-2.77,supportive,3.0
14236,-2.45,supportive,4.0
49717,0.09,neutral,1.0
37875,-1.64,supportive,1.0
33571,-3.83,supportive,2.0
28528,-0.48,neutral,1.0
5798,-0.15,neutral,1.0
2129,2.05,hate,1.0
43018,0.9,hate,0.0
5727,-0.3,neutral,2.0
45164,0.89,hate,0.0
7395,3.42,hate,2.0
45809,-0.1,neutral,2.0
10195,-0.93,neutral,3.0
26861,0.78,hate,3.0
24519,1.8,hate,1.0
4898,-1.74,supportive,3.0
49632,-0.34,neutral,0.0
4788,0.7,hate,2.0
47178,-2.92,supportive,0.0
40551,0.81,hate,2.0
45067,1.1,hate,2.0
9874,-3.48,supportive,3.0
6874,-1.21,supportive,3.0
47882,-0.72,neutral,2.0
10313,3.54,hate,2.0
14634,-3.08,supportive,2.0
30715,0.14,neutral,2.0
12956,1.7,hate,2.0
11665,-2.16,supportive,3.0
10796,0.2,neutral,0.0
43549,1.61,hate,0.0
21039,0.5,neutral,4.0
12559,0.11,neutral,1.0
29888,-2.74,supportive,0.0
19167,2.27,hate,2.0
20732,-1.45,supportive,1.0
14605,1.66,hate,4.0
40212,0.03,neutral,4.0
2812,-0.23,neutral,2.0
17184,-2.83,supportive,4.0
45274,-0.87,neutral,1.0
10247,1.04,hate,2.0
34479,-3.48,supportive,1.0
6173,-2.28,supportive,1.0
13562,-3.44,supportive,0.0
35317,1.68,hate,2.0
911,-2.75,supportive,0.0
2476,-0.8,neutral,0.0
40089,-1.69,supportive,0.0
46987,0.18,neutral,0.0
43723,-1.74,supportive,4.0
46559,-2.08,supportive,3.0
40088,-1.19,supportive,3.0
26543,1.61,hate,0.0
13642,0.31,neutral,2.0
44862,-3.93,supportive,4.0
1086,-2.09,supportive,0.0
31355,-4.64,supportive,0.0
1610,-2.08,supportive,3.0
6827,2.67,hate,2.0
37676,-3.11,supportive,1.0
20192,-2.21,supportive,2.0
21753,-2.75,supportive,2.0
41775,-2.48,supportive,1.0
22141,-4.88,supportive,2.0
17466,-0.22,neutral,1.0
14836,-0.69,neutral,2.0
24222,-1.85,supportive,2.0
23955,0.35,neutral,4.0
16764,-0.26,neutral,1.0
24986,-3.9,supportive,0.0
30316,1.98,hate,4.0
28827,-2.19,supportive,0.0
2061,1.54,hate,2.0
38507,1.04,hate,1.0
1456,1.26,hate,2.0
9528,2.26,hate,3.0
17386,0.78,hate,4.0
16347,2.88,hate,1.0
31024,-2.14,supportive,3.0
8909,0.58,hate,3.0
35885,-1.96,supportive,3.0
43159,-4.46,supportive,2.0
16502,4.35,hate,0.0
29865,-0.81,neutral,0.0
2173,1.72,hate,4.0
36181,-6.87,supportive,4.0
48794,1.39,hate,3.0
18574,-1.99,supportive,4.0
34184,-1.12,supportive,1.0
20320,-0.84,neutral,4.0
40797,-4.96,supportive,3.0
13933,-3.19,supportive,4.0
49655,1.62,hate,4.0
44956,-0.37,neutral,4.0
45718,0.75,hate,4.0
26341,0.57,hate,0.0
23689,-0.65,neutral,3.0
3749,2.26,hate,2.0
5331,0.69,hate,4.0
13027,1.19,hate,0.0
24597,-3.73,supportive,3.0
9095,1.0,hate,3.0
32204,0.14,neutral,4.0
29363,-1.32,supportive,2.0
20267,0.86,hate,0.0
27558,-0.55,neutral,2.0
42128,-0.03,neutral,4.0
45637,0.61,hate,0.0
25261,0.5,neutral,4.0
6034,-1.8,supportive,2.0
3224,0.61,hate,2.0
10057,-5.37,supportive,3.0
32172,0.07,neutral,2.0
25203,0.44,neutral,0.0
11637,-4.07,supportive,2.0
16274,0.02,neutral,1.0
40765,-0.27,neutral,2.0
46065,1.05,hate,2.0
17559,-3.11,supportive,3.0
33809,-1.88,supportive,1.0
20102,-0.93,neutral,0.0
4558,-3.85,supportive,4.0
24365,-2.29,supportive,0.0
44266,-2.28,supportive,4.0
13368,-2.02,supportive,2.0
5823,-0.48,neutral,4.0
44955,-0.35,neutral,3.0
2624,-1.69,supportive,1.0
24793,-2.81,supportive,3.0
47928,-2.15,supportive,0.0
1647,2.49,hate,3.0
22303,-5.8,supportive,4.0
6752,1.09,hate,0.0
30632,-1.46,supportive,0.0
40120,-0.91,neutral,1.0
5071,-2.46,supportive,1.0
12086,0.08,neutral,1.0
31029,0.16,neutral,1.0
11625,-1.65,supportive,3.0
10405,1.71,hate,3.0
42400,1.31,hate,2.0
45741,-0.32,neutral,2.0
15837,-0.03,neutral,4.0
10735,0.49,neutral,1.0
48436,0.32,neutral,0.0
14911,-5.91,supportive,4.0
43887,-0.38,neutral,1.0
27751,-3.08,supportive,1.0
17484,3.26,hate,0.0
34874,0.34,neutral,3.0
49858,0.01,neutral,2.0
44599,1.76,hate,1.0
1034,-3.48,supportive,4.0
23332,-0.72,neutral,3.0
34736,-3.3,supportive,2.0
7603,0.12,neutral,1.0
25453,-2.53,supportive,2.0
47901,2.11,hate,0.0
4408,0.12,neutral,0.0
34010,1.96,hate,1.0
40947,0.78,hate,0.0
14532,-1.49,supportive,0.0
463,1.61,hate,0.0
38963,0.82,hate,2.0
27662,-0.37,neutral,1.0
47366,0.59,hate,4.0
47266,-1.18,supportive,0.0
19770,-2.85,supportive,4.0
6819,-2.25,supportive,0.0
26846,-0.62,neutral,2.0
24489,0.08,neutral,4.0
29054,-2.85,supportive,1.0
34838,0.41,neutral,0.0
34749,-0.9,neutral,4.0
17954,0.99,hate,2.0
29184,-2.73,supportive,4.0
30516,-2.38,supportive,4.0
7703,-2.17,supportive,4.0
808,-2.49,supportive,2.0
49590,0.5,neutral,0.0
45921,-1.75,supportive,3.0
43226,1.23,hate,4.0
34163,-3.13,supportive,0.0
20800,-2.5,supportive,2.0
25289,-2.21,supportive,1.0
17491,-1.53,supportive,0.0
46210,2.82,hate,3.0
4294,-0.3,neutral,4.0
8563,-0.51,neutral,4.0
47998,1.0,hate,1.0
28389,-3.84,supportive,4.0
26160,1.1,hate,3.0
27901,-1.51,supportive,2.0
18752,-2.54,supportive,1.0
995,-0.09,neutral,1.0
41155,2.06,hate,3.0
27582,3.5,hate,0.0
27144,-1.9,supportive,1.0
32679,-0.59,neutral,0.0
49653,0.9,hate,2.0
5995,-1.33,supportive,0.0
6751,-2.29,supportive,4.0
42422,-0.79,neutral,4.0
11736,2.53,hate,3.0
27507,-0.82,neutral,1.0
23298,0.02,neutral,2.0
26974,-4.71,supportive,1.0
13381,-0.22,neutral,4.0
44763,-0.62,neutral,3.0
7687,-4.18,supportive,3.0
17946,1.16,hate,2.0
326,-0.29,neutral,0.0
10766,-1.47,supportive,4.0
9521,-0.56,neutral,3.0
6716,0.96,hate,0.0
13518,-2.67,supportive,3.0
10813,1.33,hate,3.0
30299,-1.52,supportive,4.0
42108,1.39,hate,4.0
49202,0.03,neutral,1.0
11332,-2.29,supportive,4.0
24338,-2.53,supportive,4.0
26949,-2.37,supportive,1.0
12847,-2.46,supportive,3.0
6761,0.3,neutral,4.0
44358,-2.49,supportive,3.0
40663,-0.52,neutral,4.0
7323,-3.08,supportive,0.0
47247,2.0,hate,4.0
48734,0.63,hate,0.0
7988,0.37,neutral,2.0
13639,2.61,hate,0.0
35688,-1.12,supportive,4.0
22308,-0.9,neutral,0.0
12532,-1.05,supportive,0.0
5261,0.95,hate,4.0
32636,0.32,neutral,0.0
14668,-6.23,supportive,2.0
24735,-2.48,supportive,1.0
48931,-0.49,neutral,3.0
1453,-0.66,neutral,1.0
10177,-1.76,supportive,1.0
14471,-1.12,supportive,2.0
8069,0.07,neutral,3.0
15399,1.78,hate,1.0
47017,1.48,hate,0.0
42705,-2.03,supportive,0.0
13534,0.38,neutral,4.0
20083,-3.08,supportive,3.0
20622,-0.37,neutral,3.0
48498,0.65,hate,1.0
10005,1.0,hate,2.0
48475,-1.26,supportive,2.0
48530,-2.96,supportive,4.0
7061,-1.85,supportive,4.0
25110,-1.17,supportive,4.0
8554,0.2,neutral,1.0
15770,-1.97,supportive,2.0
269,1.38,hate,4.0
47462,-1.67,supportive,4.0
19854,0.99,hate,4.0
1133,-4.07,supportive,3.0
47524,1.98,hate,1.0
10116,3.29,hate,2.0
33511,-2.46,supportive,4.0
3839,-1.41,supportive,1.0
49984,0.08,neutral,1.0
25108,0.5,neutral,0.0
37159,0.29,neutral,4.0
45023,-0.9,neutral,1.0
49970,-0.35,neutral,0.0
5807,0.41,neutral,3.0
10925,0.12,neutral,4.0
15126,1.02,hate,4.0
37352,-2.65,supportive,2.0
29557,-2.44,supportive,2.0
33434,0.11,neutral,0.0
45603,-1.39,supportive,1.0
2461,-3.38,supportive,3.0
16035,2.7,hate,1.0
2167,0.87,hate,3.0
45923,-1.06,supportive,0.0
26630,-4.52,supportive,0.0
8233,0.44,neutral,1.0
4338,-7.27,supportive,3.0
9508,-2.21,supportive,3.0
18616,-4.88,supportive,4.0
25396,-1.54,supportive,2.0
32785,2.52,hate,1.0
47654,0.29,neutral,4.0
48803,-0.86,neutral,4.0
6269,-1.69,supportive,2.0
28143,-0.67,neutral,0.0
48907,-0.91,neutral,4.0
2787,0.71,hate,3.0
17541,-1.23,supportive,1.0
11354,0.26,neutral,2.0
22425,-1.88,supportive,0.0
42920,0.0,neutral,2.0
36587,-2.95,supportive,2.0
2776,0.1,neutral,2.0
34221,-2.89,supportive,1.0
2015,-1.72,supportive,3.0
45949,-1.42,supportive,0.0
